crn,name,title,term,credits,status,schedule,begin,end,building,room,capacity,professor,prereq,description 
22693,CVS 241,"NEURONS, CIRCUITS, & SYSTEMS",Fall 2019,4.0,Open,TR,940,1055,HARK,210,25,BRIGGS F,NSC 201/BCS 240,"This course takes a bottom-up approach to understanding the neurons and circuits of the sensory systems in the mammalian brain. Thematic topics will include: structural and functional diversity among sensory neuronal populations, common themes across sensory systems such as parallel information processing, coordination among feedforward/feedback circuits, and neuronal plasticity during development of functional domains. The final course module will focus on exploring the neuronal mechanisms of attention, again from a neuron- and circuit-centric perspective. Multiple sensory systems will be discussed with primary emphasis on the visual system as a model for understanding structure/function relationships. The course will also introduce students to modern methodological approaches in systems neuroscience. A major goal of the course is to familiarize students with reading and critiquing primary research literature through weekly readings, small group discussions, and short written summaries of scientific papers."
22706,CVS 391,INDEPENDENT STUDY,Fall 2019,0.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22719,CVS 395,RESEARCH IN VISUAL SCIENCE,Fall 2019,0.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22722,CVS 491,MASTER'S READINGS,Fall 2019,0.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22735,CVS 493,MASTER'S SPECIAL TOPICS,Fall 2019,0.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22741,CVS 495,MASTER'S RESEARCH,Fall 2019,0.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22753,CVS 528,SPECIAL TOPICS IN VISION,Fall 2019,3.0,Open,TBA,NULL,NULL,NULL,NULL,No Cap,TADIN D,NULL,"Advanced graduate seminar on a chose problem in vision sciences.  In previous years, topics have included motion perception, stereopsis, color vision and visuo-motor control.  Readings for the course are drawn from the scientific literature in the topic being covered.  Students are typically required to lead discussions on papers."
22764,CVS 591,PHD READINGS,Fall 2019,0.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22788,DAN 104,CONTACT IMPROVISATION I,Fall 2019,2.0,Open,TR,1230,1345,OBRN,DANCE,NULL,WOOD R,NULL,"Rooted in dance, martial arts and studies of body development and awareness. A duet form where partners use weight, momentum, and inertia to move each other freely through space.  Solo and duet skills, rolling, falling, balance, counter-balance, jumping, weight sharing, spirals explored. Skill work combined with more open dancing in a supportive and focused environment. No previous dance training required."
22797,DAN 114,INTRODUCTION TO YOGA,Fall 2019,2.0,Open,TR,940,1055,SPURR,GYM,NULL,GIPNER M,NULL,"Yoga is defined as “union”, the uniting together of ourselves in all aspects- body, mind, heart, spirit. This class introduces the student to a hatha yoga method which integrates a dynamic and engaging approach to living through practicing “on and off the mat.” The goal of this class is to learn how to create a deeper, more enlivened relationship to one’s self through honoring one’s abilities and limitations, while growing one’s skills and sensitivity in the supportive environment of the class community. Students will engage with principles of attitude, alignment and action in a full range of hatha yoga poses, breathing techniques, readings on yoga philosophy, reflection, journaling and discussion. Through this ongoing process, students of yoga are encouraged to cultivate a more expansive and clear perception of self and others. Attendance in selected workshops and performances are required."
22813,DAN 130,CONDITIONING FOR DANCER & ATHLETE,Fall 2019,2.0,Open,TR,1230,1345,SPURR,DANCE,NULL,HARRIS WILCOX,NULL,"Body conditioning aimed to develop and strengthen specific musculature as it pertains to physical demands of dancers, athletes, martial artists, as well as those who wish to explore a mindful, physical and anatomically sound practice. Will introduce fundamental strength training based in Pilates, hands-on bodywork and basic movement sequences designed to help prevent injury as well as build core strength, endurance, coordination and overall physical mobility and stability."
86254,DAN 140,TAP DANCE:BEGINNING,Fall 2019,2.0,Open,MW,1025,1140,OBRN,DANCE,NULL,JOHNSON C,NULL,"Development of basic skills, energy, strength, control, continuity, and rhythmic and bodily awareness through the teaching of rhythm tap dance. No previous tap dance experience is expected."
22824,DAN 145,BEGINNING JAZZ TECHNIQUE,Fall 2019,2.0,Open,MW,900,1015,OBRN,DANCE,NULL,JOHNSON C,NULL,"Vernacular jazz movement as it relates to jazz music and its historical context.  Stylistically eclectic courses will blend the challenges of full-bodied, culturally influenced dancing with a sense of one's own self.  Development of basic skills, energy, strength, control, continuity, and rhythmic and bodily awareness."
22831,DAN 155,MOVEMENT REVOLUTIONS: A CULTURAL HISTORY OF SOCIAL DANCE,Fall 2019,4.0,Open,MW,1400,1515,SPURR,DANCE,NULL,STEELE M,NULL,"Social dance plays an important role in every society, simultaneously fostering community and self-expression. From the Waltz to Square Dancing, Ragtime Dances to Rock n’ Roll, and Tango to Salsa, this course explores the history and culture of several social and popular dances in America from 1800 to the present. Students discover how cultural beliefs are embedded in social dance practices, and how, vice versa, social dance practices can help shape changing norms and behaviors. Through a mixture of lectures, readings, discussions, video-viewings and experiencing the basic steps, each social dance form studied is contextualized within its time period. The course as a whole considers patterns of cultural change across the decades in terms of gender, race, class and social identities. No previous dance experience is necessary."
22845,DAN 160,DANCE IMPROVISATION,Fall 2019,2.0,Open,TR,940,1055,SPURR,DANCE,NULL,STEELE M,NULL,"This course is designed for those with some experience in dance who wish to explore mechanisms for generating movement and dance through improvisation. Through movement exploration, reading and discussions, students will become familiar with the process of spontaneous creation. We will explore various aspects of improvisation including Scores, Site Specific Work, Contact Improvisation and the work of chance. Through investigation, students will strive for full embodiment, presence, and intuitive awareness. The course works with theoretical concepts based in (but not limited to) Forsythe Improvisation Technologies, fundamentals of Laban Movement Analysis and other cultural forms of performing arts in the pursuit to understand improvisation as practice, technique, performance and composition. Supporting inspiration and freedom for the exploration of artistic expression and development is at the forefront of this class."
22862,DAN 170,EMBODIED RESOURCING THROUGH SOMATIC PRACTICE,Fall 2019,4.0,Open,MW,1025,1140,SPURR,DANCE,NULL,COREA D,NULL,"From subtle intrinsic movement to whole body integration, students will have the opportunity to experience several somatic modalities and discover what it means to be fully alive in movement and stillness. Mindful Awareness provide the foundation for listening inwardly to one’s immediate embodied experience. From this felt sense and the inherent wisdom of the body, students will be encouraged by various practitioners to explore Alexander Technique, Bartenieff Fundamentals, Body-Mind Centering®, and Continuum Movement. This work can be powerful for dancers, and others who are inquisitive, in becoming more open, present, resilient and centered. Experiential practice, readings, discussion, and reflective writing will comprise the course. Participation in 2-3 labs throughout the semester will be required. Specific Friday afternoon dates TBA."
22877,DAN 171,CAPOEIRA: BRAZILIAN ART MOVEMENT,Fall 2019,2.0,Open,MW,1830,1950,SPURR,DANCE,NULL,RUSSELL T,NULL,"An art form of self-defense with aerobic and dance elements that brings together a harmony of forces. Through history, movement and culture, students gain self-confidence, power, flexibility, endurance, and tools towards self-discovery. Open to all, Capoeira balances the body, mind, and soul and enables one to break through limits, revitalizing oneself for everyday life."
22886,DAN 181,WEST AFRICAN DANCE FORMS I,Fall 2019,2.0,Open,MW,1525,1640,SPURR,DANCE,25,BANGOURA K,NULL,"Dynamic dance traditions of Guinea, West Africa. Accompanied by live music, students learn footwork and movements for several rhythms and acquire familiarity with the physical stance common to many styles of West African dance. Learn to execute movements together with the rhythmic foundation provided by our drummers and become familiar with the origins and cultural significance of each dance, and the songs that accompany them."
22890,DAN 182,WEST AFRICAN DANCE FORMS 1A,Fall 2019,2.0,Open,MW,1525,1640,SPURR,DANCE,5,BANGOURA K,DAN 181,A continuation of Dance 181.
90757,DAN 184,SANSIFANYI: WEST AFRICAN DANCE & DRUM ENSEMBLE,Fall 2019,2.0,Open,TR,2000,2130,SPURR,DANCE,NULL,BANGOURA K,"One of the following: DAN181&182, DAN 283, DAN 253, DAN 285For Drummers one of the following: MUR168A, MUR168B, MUR146.","Sansifanyi is an ensemble that provides study and performance opportunities for intermediate and advanced students of African dance and drumming. Instructor Kerfala Bangoura trains ensemble members in a performance style that integrates dance, drumming, vocal song, and narrative elements. Dancers who enroll in Sansifanyi will learn choreographic techniques for West African dance and gain experience dancing as soloists. Dancers will also learn focus on rhythmic timing and on drumming while dancing. Drummers enrolled in Sansifanyi will learn extended percussion arrangements and techniques for accompanying choreography. They will also learn how to play the breaks required of lead drummers."
86917,DAN 189,BREAKING:CONDITIONING AND BATTLING,Fall 2019,2.0,Open,MW,2000,2115,OBRN,DANCE,NULL,KRAUS J,DAN 188 OR PERMISSION FROM INSTRUCTOR,"Continuing from DAN 188: Hip Hop Culture and Breaking, students will further their knowledge and understanding of battling (competing) in the hip hop world both physically and analytically. This course will challenge students to create a standardized system for judging battles as well as the opportunity to test their systems during class. From a physical perspective, students will utilize much of what was taught in the previous course but with a focus on individual feedback and flexibility as to where they want to take their styles. Students who have not taken DAN 188 in previous years must contact the instructor by email first for approval to enroll."
22916,DAN 203,CONTACT IMPROVISATION II,Fall 2019,2.0,Open,TR,1230,1345,OBRN,DANCE,NULL,WOOD R,NULL,"A continuation of DAN 104 that is taught concurrently with the introductory course. Students in DAN 203 will gain a deeper experiential and intellectual knowledge of contact by exploring issues further. Work includes both more advanced practice with other DAN 203 students, and the experience of helping teach the DAN 104 students the basic principles of contact."
22927,DAN 208,T'AI CHI: MOVEMENT ART & CULTURE,Fall 2019,2.0,Open,TR,1525,1640,SPURR,DANCE,NULL,LOUGHRIDGE R,NULL,"A study of Taijiquan, (also known as T’ai Chi Ch’uan or “Tai Chi”), a traditional Chinese martial art, and its intimate relationship to the cosmological, physiological, and philosophical conceptions found in the culture and thought from which it emerged. The course investigates both the traditional Chinese philosophy and movement aspects of Tai Chi in order to better understand the integration of human body, mind, and spirit. The Simplified 24-Step Taijiquan (Ershisi Shi Taijiquan) is learned, along with the foundation skills of the Eight Methods or Energies (Ba Fa), Reeling Silk (Chan Si Gong), Pushing Hands (Tui Shou), and Standing Pole meditation (Zhan Zhuang). Tai Chi is not only a valuable cross training exercise for the dancer, but also provides training for relaxed strength, whole body coordination, balance, centered alignment, timing, weight shifting and moving with fluid grace."
22938,DAN 209,QIGONG WAY TO HEALTH,Fall 2019,2.0,Open,TR,1400,1515,SPURR,DANCE,NULL,LOUGHRIDGE R,NULL,"Qi Gong is a ancient Chinese internal art and an early forerunner of Tai Ji Quan. It is an Eastern Movement Discipline (EMD)  which embodies a holism of Eastern martial arts and Eastern meditation.  This course is a study of the philosophical roots, mindful practices and physical movements  of Qi Gong in order to better understand and attain the integration of body, mind, and spirit. Topics will include traditional Chinese cultural concepts such as Yin-Yang theory, Five Element theory and Qi theory and their potential inclusion in modern Western culture. Qi Gong provides the dancer and athlete with healthy lifestyle practices and fitness training for better breathing, body awareness, focus and concentration, mental presence, imagery, and cultivating and expressing energy flow."
85929,DAN 212,"NGOMA: DRUMMING, DANCE, and RITUAL in SOUTHERN AFRICA",Fall 2019,4.0,Open,F,1000,1220,SPURR,DANCE,20,KYKER J,NULL,"Throughout much of Southern Africa, the word “ngoma” means drum. It also refers to specific musical styles that combine drumming, dance, and song. Finally, there is often a ritual dimension to ngoma, which is used in ceremonies focused around individual and social healing. In this class, students will bring ngoma alive by learning to perform various Zimbabwean ngoma genres, with the option of specializing in either drumming or dance. Through video clips, audio recordings, photos, and articles, we will also learn to understand ngoma within a larger cultural framework."
87204,DAN 215,BEGINNING BALLET II/ADV BEGINNING BALLET,Fall 2019,2.0,Open,MW,1400,1515,OBRN,DANCE,NULL,DALTON M,NULL,NULL
22940,DAN 218,INTO THE PRESENT MOMENT,Fall 2019,4.0,Open,MW,840,1010,SPURR,DANCE,NULL,COREA D,NULL,"This experiential course invites pausing and reflecting on the habits of mind, cultivating awareness of the present moment, which is the only moment available to learn and live. Students will be guided in meditation and insight techniques, relaxation, and other mindfulness practices. Incorporating mindfulness into daily life, class discussion, reading, and writing assignments will support understanding and personal growth. To facilitate establishing a personal practice, attendance will be required at meditation labs on Fridays."
90356,DAN 218,INTO THE PRESENT MOMENT LAB,Fall 2019,LAB,Open,F,900,950,SPURR,DANCE,NULL,COREA D,NULL,NULL
22952,DAN 225,YOGA II:CONTINUING THE JOURNEY,Fall 2019,2.0,Open,MW,1400,1515,SPURR,GYM,NULL,GIPNER M,DAN 114 or DAN 216 or equivalent experience with instructor's permission.,"In this course, students with prior yoga and/or dance experience will learn how to refine their skills through a continued exploration of asanas, pranayama, philosophy, and meditation. We will explore a more rigorous vinyasa flow practice, resulting in students developing more clarity regarding alignment, breath support, core aliveness, and, ultimately, body/self-awareness. While this is an individualized practice, the importance of community will be emphasized throughout as students share aspects of their practice with each other. Readings, discussion, and reflective writing are inherent to deepening one’s practice."
86247,DAN 228,"DANCE HISTORY:PHILOSOPHY, AESTHETICS & CULTURE",Fall 2019,4.0,Open,TR,1105,1220,SPURR,DANCE,NULL,STEELE M,NULL,"This course examines the origins and development of western concert dance during the 20th and 21st century. Through lecture, discussion, film/video viewing, reading/writing assignments and movement experiences, we explore a variety of dance artists and their work and acknowledge a broader global perspective in terms of aesthetics, socio-cultural context and continued evolution in the contemporary dance landscape in regards to form, trends, and style. This course will serve as an investigation of dance history from a critical and analytical perspective, interfacing with a variety of theoretical frameworks."
22974,DAN 242,DESIGN FOR DANCE,Fall 2019,2.0,Open,F,1230,1530,SPURR,DANCE,NULL,REISER S,NULL,"This is an introductory design course aimed at giving students exposure to light as a medium, lighting design, lighting equipment, and visual story telling for performance through class discussion, and practical work. This is a 2 credit course and only meets a few times throughout the semester from 12:30-3:30pm on 7 Fridays that are TBD. Students will be required to attend dance performances and will help install the light plot. The class is built around specific performance dates that will provide the students with an opportunity to light a dance piece."
89178,DAN 243,DANCE ON CAMERA:CAMERA ON DANCE,Fall 2019,4.0,Open,TR,1105,1345,SAGE,BLDG,15,LEBLANC-ROBER,NULL,NULL
22983,DAN 245,DANCE THERAPY FOUNDATIONS,Fall 2019,4.0,Open,MW,1650,1820,SPURR,DANCE,14,FRAENKEL D,NULL,"Dance/Movement Therapy Foundations examines the field’s approaches to (1) enhancing personal, professional, and creative development, and (2) treating a wide range of challenges (e.g., autism, anxiety, eating disorders, abuse, developmental challenges, and psychosis). To these ends, students will learn how Dance/Movement Therapy integrates natural movement, formal elements of dance, music, language, psychology, counseling, neuroscience, and concepts drawn from Asian approaches to healing. Improvisational dance, music-making, role plays, live music, and videotapes of actual sessions highlight these concepts. Dress comfortably. Be prepared to move. Participation in 3 labs during the semester will be required."
86659,DAN 249,"THE ART OF DANCE, CHANGE & COMMUNITY PRACTICE",Fall 2019,4.0,Open,MW,1025,1140,TODD,107,NULL,BEAUCHAMP R,NULL,"This course investigates community engagement and creative collaboration.  It is designed for students who are interested in merging social activism, dance, theater, other art mediums and teaching.  The class will include sessions at designated off-campus sites, specifically local high schools, where students will lead and participate in teaching movement dialogues.  Emphasis is on concepts and skills utilized in designing and implementing movement experiences for community building and social change.  Students will aid in constructing classes for community sites while developing the knowledge necessary to create community-building, art-based programs in the future."
23008,DAN 250A,INTERMED CONTEMPORARY DANCE:CONTEXT & PRACTICE,Fall 2019,4.0,Open,MW,1150,1335,SPURR,DANCE,NULL,BEAUCHAMP R,NULL,"In this course, students practice contemporary dance forms and examine concepts influenced by Laban/Bartenieff theories. Classes explore patterns of total body organization and connectivity, efficiency of movement, weight sensing, and somatic practices. Students develop self-awareness and technical skills while addressing artistry and self-expression. The course looks at Contemporary Dance’s rich history and its influence on 21st century forms. In addition to movement practice, students participate in discussions, workshops and performances. Students can register for either section A or B during initial enrollment. A first-day placement class will determine appropriate section for each dancer."
87190,DAN 250B,INTERMEDIATE CONTEMPORARY DANCE:CONTEXT & PRACTICE,Fall 2019,4.0,Open,MW,1150,1335,OBRN,DANCE,NULL,HARRIS WILCOX,NULL,"In this course, students practice contemporary dance forms and examine concepts influenced by Laban/Bartenieff theories. Classes explore patterns of total body organization and connectivity, efficiency of movement, weight sensing, and somatic practices. Students develop self-awareness and technical skills while addressing artistry and self-expression. The course looks at Contemporary Dance’s rich history and its influence on 21st century forms. In addition to movement practice, students participate in discussions, workshops and performances. Students can register for either section A or B during initial enrollment. A first-day placement class will determine appropriate section for each dancer."
87228,DAN 260,SEED SEMINAR,Fall 2019,2.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,HARRIS WILCOX,NULL,"This fall course provides a forum for dance majors, especially with a concentration in Dance Studies, to develop ideas for their interdisciplinary research projects. Juniors or Seniors taking this course will be introduced to various research methods, as well as viewing, reading about and experiencing existing interdisciplinary and collaborative work. Working under advisement of the instructor, students will identify a mentor within the Program of Dance and Movement, as well as an advisor from a partnering discipline when appropriate, who agrees to provide external feedback. In preparation for creating a Senior thesis, students engage in individualized research, concept planning, and drafting written and performative material. To support the research in this course, students may participate in internships, lab work, creative practice, service learning, and/or other community-based work."
23013,DAN 266,INTERMEDIATE CONTEMP DANCE,Fall 2019,2.0,Open,MW,1150,1335,SPURR,DANCE,NULL,BEAUCHAMP R,NULL,"Continuing technical development and comprehension and integration of theory into practice is the focus in this course. Students will practice contemporary dance experientially through examining dance concepts influenced by Laban/Bartenieff theories and by exploring complex choreographic combinations. Classes will explore continuity and connectivity, patterns of total body organization, efficiency of movement, momentum, musculo-skeletal anatomy, strength, alignment, weight sensing, rhythm and somatic practices to develop and improve technical skills. We will also investigate subtlety and individual expression in performance. Experience in dance required.  Having already taken DAN250 is helpful."
23024,DAN 267,ADVANCED CONTEMPORARY DANCE,Fall 2019,2.0,Open,MW,1150,1335,SPURR,DANCE,NULL,BEAUCHAMP R,DAN 266 Intermediate Contemporary Dance,"Continuing technical development and comprehension and integration of theory into practice is the focus in this course. Students will practice contemporary dance experientially through examining dance concepts influenced by Laban/Bartenieff theories and by exploring complex choreographic combinations. Classes will explore continuity and connectivity, patterns of total body organization, efficiency of movement, momentum, musculo-skeletal anatomy, strength, alignment, weight sensing, rhythm and somatic practices to deepen the investigation and mastery of technical skills. We will also continue to work on deepening the understanding or artistry as it pertains to subtlety and individual expression in performance. Pre-requisite: DAN 266: Intermediate Contemporary Dance"
87210,DAN 268,INTERMEDIATE SOMATIC BALLET,Fall 2019,2.0,Open,TR,1650,1805,SPURR,DANCE,NULL,DALTON M,DAN 116 or permission from Instructor,"Practice and performance of classical and contemporary ballet with a contemporary approach in order to serve the dancer of any style of movement. Within the ballet form, classes will explore efficiency of movement, breath, anatomical mechanics, strength, alignment and through-line, weight, rhythmic accuracy, clarity of space, shape and effort, and somatic practices to develop and improve technical skills.."
23031,DAN 278,CHOREOGRAPHY,Fall 2019,4.0,Open,TR,1400,1515,OBRN,DANCE,NULL,PFOHL SMITH M,NULL,"Experiment with various methods of dance-making and focus on examining craft in the service of choreographic expression. You will be encouraged to curiously and playfully embody manipulations of movement material to better understand different points of view and to explore the elements of time, space, shape and effort to see how they affect quality and content. Drawing from dance, visual art, music, current events, writings and other sources, we will explore diverse approaches to creativity, experimentation and choreography."
23045,DAN 279,DANCE AS COLLABORATOR,Fall 2019,1.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,PFOHL SMITH M,Enrollment is by permission of instructor. Please email requests to m.p.smith@rochester.edu.,"Dancer as Collaborator is a one-credit movement course engaging students as dancers for choreographic work generated from the DAN 278 Choreography class and/or the Program of Dance and Movement’s Fall Concert. DAN 279 students act as collaborators in that they embody and perform the choreographers’ concepts and vision and participate in creative process. Rehearsals will average twice weekly for the bulk of the semester. Pieces created in this course will be included in the Fall concert, the End of the Term Showings, and/or other Program approved performance opportunities throughout the semester. Enrollment is by permission of instructor. Please email requests to m.p.smith@rochester.edu."
23059,DAN 290,MIDDLE EASTERN DANCE:ORIENTALE,Fall 2019,2.0,Open,TR,1830,1945,SPURR,DANCE,25,SCOTT K,NULL,"Improve strength, flexibility and self-awareness of the body. Includes meditative movement, dance technique, improvisation and rhythm identification through music and drumming. Dance forms such as Egyptian, Turkish, and American Tribal will be taught. Traditional costuming will be addressed. History, art, and culture from these countries will be explored and experienced. Discourse and research topics will explore issues of gender, body image, historical perspectives and Orientalism."
23351,DSC 201,TOOLS FOR DATA SCIENCE,Fall 2019,4.0,Open,MW,900,1015,GAVET,206,No Cap,MORT B,"CSC 161, CSC 171, or some equivalent programming experience strongly recommended",This course provides a hands-on introduction to widely-used tools for data science.  Topics include Linux; languages and packages for statistical analysis and visualization; cluster and parallel computing using Hadoop and Spark; libraries for machine learning; no-sql data stores; and cloud services.
23365,DSC 240,DATA MINING,Fall 2019,4.0,Open,TR,1230,1345,GRGEN,101,No Cap,LUO J,"Prerequisites will be strictly enforced:  CSC171, CSC 172 and MTH 161.  Recommended:  CSC 242 or CSC262; MTH165.","Fundamental concepts and techniques of data mining, including data attributes, data visualization, data pre-processing, mining frequent patterns, association and correlation, classification methods, and cluster analysis. Advanced topics include outlier detection, stream mining, and social media data mining. CSC 440, a graduate-level course, requires additional readings and a course project. If the course is closed, DO NOT email the professor. Fill out this form to be added to the waitlist: https://goo.gl/forms/IyFoIfjrtISvJls62. Additional places, if any, will become available automatically for online registration."
23378,DSC 261,Database Systems,Fall 2019,4.0,Open,MW,1230,1345,HARK,115,No Cap,ZHUPA E,CSC172; CSC173 and CSC 252 recommended,"This course presents the fundamental concepts of database design and use. It provides a study of data models, data description languages, and query facilities including relational algebra and SQL, data normalization, transactions and their properties, physical data organization and indexing, security issues and object databases. It also looks at the new trends in databases. The knowledge of the above topics will be applied in the design and implementation of a database application using a target database management system as part of a semester-long group project.  If the course is closed, DO NOT email the professor. Fill out this form to be added to the waitlist: https://goo.gl/forms/IyFoIfjrtISvJls62. Additional places, if any, will become available automatically for online registration."
23380,DSC 262,COMPUTATIONAL INTRODUCTION TO STATISTICS,Fall 2019,4.0,Open,TR,1400,1515,WEGMN,1400,125,CIMINELLI J,MTH 150 or MTH 150A; AND MTH 142 or MTH 161 or MTH 171,"This course will cover foundational concepts in probability and statistical inference, with an emphasis on topics of interest to computer scientists. Following an introduction to elementary probability theory, topics will include applications of combinatorics; Markov chains; principles of statistical classification (Bayes' rule, sensitivity and specificity, ROC curves) and random number generation. The theory of statistical estimation and hypothesis testing will be introduced, and applied to one and two sample inference for population means, proportions, variances and correlations. Nonparametric procedures will be discussed. Topics also include statistical modeling (ANOVA, simple and multiple regression), and computational methods. Students will be introduced to the R statistical computing environment."
85310,DSC 275,TIME SERIES ANALYSIS & FORECASTING in DATA SCIENCE,Fall 2019,4.0,Open,TR,1105,1220,HYLAN,105,No Cap,ANAND A,MTH 165 and CSC161/CSC171 or equivalent intro programming coursework,"Time series analysis is a valuable data analysis technique in a variety of industrial (e.g., prognostics and health management), business (e.g., financial data analysis) and healthcare (e.g., disease progression modeling) applications. Moreover, forecasting in time series is an essential component of predictive analytics. The course will begin with an introduction to practical aspects relevant to time series data analysis such as data collection, characterization, and preprocessing. Topics covered will include smoothing methods (moving average, exponential smoothing), trend and seasonality in regression models, autocorrelation, AR and ARIMA models, and application of neural network (including deep learning-based) models to time-series data. Students shall work on projects with time-series data sets using modeling tools in Python/R."
85332,DSC 381,Artificial Intelligence & Deep Learning in Healthcare,Fall 2019,4.0,Open,MW,1525,1640,LCHAS,163,No Cap,TEITEL J,DSC262 or equivalent statistics course; CSC161 or CSC171 or equivalent introductory programming,"This course, taught by an in-industry data scientist, will focus on how to take machine learning and apply it to healthcare.  The first half of the course will cover significant medical content, such as what medical data looks like, where it comes from, and how to handle it.  In addition, we will cover the basics of machine learning algorithms such as SVMs, Decision Forests, and Neural Networks, and how to specifically apply these algorithms to medical data.  In the second half we will go into deep learning, specifically in the case of using CNNs to process a variety of medical images for tasks such as classification, regression, and segmentation.  Throughout the course we will have several guest lectures and project walkthroughs, designed to give specific examples of how to utilize the techniques taught in this course in a real-life setting. Having prior machine learning experience will be helpful, but is not a requirement.  This course will be open to undergraduate students only with instructor permission."
23399,DSC 383W,DATA SCIENCE CAPSTONE / PRACTICUM,Fall 2019,4.0,Open,TR,1525,1640,GAVET,310,No Cap,ANAND A,"DSC 240/440 and an introductory statistics course such as DSC262/462, STT212 or STT 213 or equivalent;  DSC 261/461 recommended prior or concurrently","The capstone/practicum provides an experience for data science majors/MS candidates to apply the core knowledge and skills attained during their program to a tangible data science focused project. Students will work in small teams on a project that applies data science methods to the analysis of a real-world problem. The instructor will guide each team in developing a topic that makes use of the knowledge the team members gained through their application area courses. The identified projects or problems and data sets will cover a range of application areas and reflect real-world needs from industry, medicine and government. Each student will be required to write a paper about their project, which satisfies one upper-level writing requirement for majors and Plan B for master's."
23412,DSC 391,INDEPENDENT STUDY,Fall 2019,0.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23430,DSC 395,INDEPENDENT RESEARCH,Fall 2019,0.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23456,DSC 395W,INDEPENDENT RESEARCH,Fall 2019,0.0,Open,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23467,DSC 401,TOOLS FOR DATA SCIENCE,Fall 2019,4.0,Open,MW,900,1015,GAVET,206,No Cap,MORT B,"CSC 161, CSC 171, or some equivalent programming experience strongly recommended",This course provides a hands-on introduction to widely-used tools for data science.  Topics include Linux; languages and packages for statistical analysis and visualization; cluster and parallel computing using Hadoop and Spark; libraries for machine learning; no-sql data stores; and cloud services.
23475,DSC 420,INTRODUCTION TO RANDOM PROCESSES,Fall 2019,4.0,Open,MW,1650,1805,GAVET,206,65,MATEOS BUCKST,ECE242  or equivalent,"The goal of this course is to learn how to model, analyze and simulate stochastic systems, found at the core of a number of disciplines in engineering, for example communication systems, stock options pricing and machine learning. This course is divided into five thematic blocks: Introduction, Probability review, Markov chains, Continuous-time Markov chains, and Gaussian, Markov and stationary random processes."
23481,DSC 440,DATA MINING,Fall 2019,4.0,Open,TR,1230,1345,GRGEN,101,No Cap,LUO J,"Prerequisites will be strictly enforced:  CSC171, CSC 172 and MTH 161.  Recommended:  CSC 242 or CSC262; MTH165.","Fundamental concepts and techniques of data mining, including data attributes, data visualization, data pre-processing, mining frequent patterns, association and correlation, classification methods, and cluster analysis. Advanced topics include outlier detection, stream mining, and social media data mining. CSC 440, a graduate-level course, requires additional readings and a course project. If the course is closed, DO NOT email the professor. Fill out this form to be added to the waitlist: https://goo.gl/forms/IyFoIfjrtISvJls62. Additional places, if any, will become available automatically for online registration."
23494,DSC 461,Database Systems,Fall 2019,4.0,Open,MW,1230,1345,HARK,115,No Cap,ZHUPA E,CSC172; CSC173 and CSC 252 recommended,"This course presents the fundamental concepts of database design and use. It provides a study of data models, data description languages, and query facilities including relational algebra and SQL, data normalization, transactions and their properties, physical data organization and indexing, security issues and object databases. It also looks at the new trends in databases. The knowledge of the above topics will be applied in the design and implementation of a database application using a target database management system as part of a semester-long group project.  If the course is closed, DO NOT email the professor. Fill out this form to be added to the waitlist: https://goo.gl/forms/IyFoIfjrtISvJls62. Additional places, if any, will become available automatically for online registration."
23506,DSC 462,COMPUTATIONAL INTRODUCTION TO STATISTICS,Fall 2019,4.0,Open,TR,1400,1515,HYLAN,202,No Cap,ALMUDEVAR A,NULL,"This course will cover foundational concepts in probability and statistical inference, with an emphasis on topics of interest to computer scientists. Following an introduction to elementary probability theory, topics will include applications of combinatorics; Markov chains; principles of statistical classification (Bayes' rule, sensitivity and specificity, ROC curves) and random number generation. The theory of statistical estimation and hypothesis testing will be introduced, and applied to one and two sample inference for population means, proportions, variances and correlations. Nonparametric procedures will be discussed. Topics also include statistical modeling (ANOVA, simple and multiple regression), and computational methods. Students will be introduced to the R statistical computing environment."
