crn,name,title,term,credits,status,schedule,begin,end,building,room,capacity,professor,prereq,description,major 
53511,CSC 490,SUPERVISED TEACHING,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53525,CSC 491,INDEPENDENT STUDY,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53533,CSC 494,MASTERS INTERNSHIP,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53566,CSC 495,MS Research in CSC,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53628,CSC 495A,MASTERS RESEARCH IN ABSENTIA,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53649,CSC 530,METHODS IN DATA-ENABLED RESEARCH INTO HUMAN BEHAVIOR AND ITS COGNITIVE AND NEURAL MECHANISMS,Fall 2018,4.0,Open,MW,1025,1140,MEL,269,15,JACOBS R,none,"This course provides a hand-on introduction to experimental and analytical methods in cognitive science and artificial intelligence. Each year, it offers three modules from a rotating list, including topics such as brain imaging, computational linguistics, and computer vision. The course is open to graduate students in any discipline. The course is recommended for who intend to pursue research in the the intersection of cognitive science and computer science, but prior experience in those fields is not required. It is required for students supported by the BCS/CS NRT graduate training grant. The modules are on Bayesian neuroscience, computational models in cognitive science, and natural language dialog systems.",CSC
53676,CSC 571,Seminar in Artificial Intelligence,Fall 2018,4.0,Open,MW,1400,1515,LCHAS,148,28,GILDEA D,NULL,This is a seminar course with varying topics in the area of artificial intelligence.  May not be taught every year.,CSC
83451,CSC 572,Mobile Systems Architecture,Fall 2018,4.0,Open,TR,1105,1220,B&L,315,25,ZHU Y,NULL,"This course will be a combination of paper reading, presentation, critique writing, and course projects. We will be focusing on the cutting-edge systems and architecture research in emerging domains of mobile computing such as computational imaging, continuous vision, Web technologies, etc.",CSC
53655,CSC 573,Synthesis of Systems,Fall 2018,4.0,Open,TR,1525,1640,DEWEY,2110D,40,PAI S,"CSC254, CSC255; CSC253 is helpful","An implementation-oriented survey of software systems that specify, model and synthesize software/hardware systems. The complexity of modern computer architectures places a heavy manual burden on the programmer to write correct, efficient and fast programs. This course investigates programming language, compiler and automated reasoning techniques that transfer this burden to synthesis systems which aim to reduce the burden on programmers by generating code from high-level specifications.",CSC
91987,CSC 574,Future User Interfaces,Fall 2018,4.0,Open,TR,1525,1640,GRGEN,110,15,BAI Z,"CSC 172. CSC212/412, CSC 242, and CSC 249 are recommended.","This seminar provides an introductory overview of embodied technologies such as virtual reality, augmented reality, tangible user interface and pervasive computing. Students will engage in paper review, presentation, group discussion, and critical writing of key theoretical frameworks, interaction technologies, and design methods, across application domains such as education, healthcare and computer-supported collaboration. This will build towards a final project involving user interface design and prototyping.",CSC
88139,CSC 577,ADV. TOPICS IN COMP VISION,Fall 2018,4.0,Open,TR,940,1055,B&L,315,25,XU C,NULL,"This course covers advanced research topics in computer vision with an emphasis on learning structured representations and embeddings. Approaches for learning from unimodal (e.g., images and videos), and multimodal data (e.g., vision and language, vision and audio) will be covered and include topics from structured predications, deep learning and others. The course will be a mix of lecture, student presentation and discussion.",CSC
53687,CSC 591,INDEPENDENT STUDY,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53693,CSC 594,INTERNSHIP,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53741,CSC 595,PHD RESEARCH IN CSC,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53886,CSC 595A,PHD RESEARCH IN ABSENTIA,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53938,CSC 595B,PHD RSRCH IN ABSENTIA ABROAD,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53952,CSC 597,COMPUTER SCIENCE COLLOQUIUM,Fall 2018,0.0,Open,M,1150,1305,WEGMN,1400,0,NULL,NULL,NULL,CSC
53969,CSC 895,CONT OF MASTER'S ENROLLMENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
53974,CSC 897,MASTERS DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
54085,CSC 897A,MASTERS DISSRTTN IN ABSENTIA,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
54106,CSC 899,MASTER'S DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
54119,CSC 985,LEAVE OF ABSENCE,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
54122,CSC 986V,FULL TIME VISITING STUDENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
54135,CSC 995,CONT OF DOCTORAL ENROLLMENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
54141,CSC 997,DOCTORAL DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
95426,CSC 997A,DOCT DISSERTATN IN ABSENTIA,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
54153,CSC 999,DOCTORAL DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
54251,CSC 999A,DOCT DISSERTATN IN ABSENTIA,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSC
21874,CSP 171,SOCIAL AND EMOTIONAL DEVELOPMENT,Fall 2018,4.0,Open,TR,1400,1515,HUTCH,141,215,ELENBAAS L,NULL,"An examination of the interpersonal, emotional, cognitive, and environmental factors that influence children's social and emotional development from early infancy through late adolescence.",CSP
21883,CSP 171W,SOCIAL AND EMOTIONAL DEVELOPMENT,Fall 2018,0.5,Open,TBA,NULL,NULL,NULL,NULL,15,ELENBAAS L,NULL,Fulfills Upper-Level Writing Requirement,CSP
21895,CSP 181,THEORIES OF PERSONALITY AND PSYCHOTHERAPY,Fall 2018,4.0,Open,MW,1525,1640,HOYT,AUD,150,NIEMIEC C,NULL,"A survey of psychodynamic, existential, and empirical approaches to personality and psychotherapy. IMPORTANT: The content of this course can inspire personal growth and self-understanding to the extent that students actively wrestle with and apply the material to their own experience; as a result, this course is designed as a “hybrid” course that combines online learning with traditional face-to-face learning in the form of small-group discussions.",CSP
21908,CSP 181,THY PERS & PSYCH - REC,Fall 2018,REC,Open,T,940,1055,HUTCH,138,30,NIEMIEC C,NULL,NULL,CSP
21913,CSP 181,THY PERS & PSYCH - REC,Fall 2018,REC,Open,W,1815,1930,MEL,205,30,NIEMIEC C,NULL,NULL,CSP
21924,CSP 181,THY PERS & PSYCH - REC,Fall 2018,REC,Open,R,1815,1930,MEL,205,30,NIEMIEC C,NULL,NULL,CSP
21931,CSP 181,THY PERS & PSYCH - REC,Fall 2018,REC,Open,T,1815,1930,LATT,210,30,NIEMIEC C,NULL,NULL,CSP
21962,CSP 181,THY PERS & PSYCH - REC,Fall 2018,REC,Open,W,1150,1305,HYLAN,105,30,NIEMIEC C,NULL,NULL,CSP
21977,CSP 181,THY PERS & PSYCH - REC,Fall 2018,REC,Open,R,1650,1805,MEL,205,30,NIEMIEC C,NULL,NULL,CSP
82856,CSP 181,THY PERS & PSYCH - REC,Fall 2018,REC,Open,R,940,1055,HUTCH,138,30,NIEMIEC C,NULL,NULL,CSP
82867,CSP 181,THY PERS & PSYCH - REC,Fall 2018,REC,Open,M,1815,1930,MEL,205,30,NIEMIEC C,NULL,NULL,CSP
21986,CSP 181W,THEORIES OF PERSONALITY AND PSYCHOTHERAPY,Fall 2018,0.5,Open,TBA,NULL,NULL,NULL,NULL,0,NIEMIEC C,NULL,Fulfills Upper-Level Requirement,CSP
21990,CSP 210,SOCIAL COGNITION,Fall 2018,4.0,Open,MW,1400,1515,CSB,209,48,JAMIESON J,PSY101 recommended,"Social cognition combines classic social psychology with methods and theories from cognitive psychology and neuroscience to study how people make sense of each other and the social world. We will examine how the social environment influences cognitive processes such as attention, heuristics, and appraisals, and how these processes in turn affect decisions, behaviors, and health. We will critically evaluate research on a variety of topics, such as emotion regulation, stereotyping and prejudice, and stress and decision making.",CSP
22003,CSP 210W,SOCIAL COGNITION,Fall 2018,0.5,Open,TBA,NULL,NULL,NULL,NULL,0,JAMIESON J,NULL,Fulfills Upper-Level Requirement,CSP
22012,CSP 219,RESEARCH METHODS IN PSYCHOLOGY,Fall 2018,4.0,Open,TR,940,1055,MEL,224,0,ROGGE R,NULL,"An introduction to the basic concepts, logic, and procedures needed to do psychological research. Hands-on experience with all major phases of the research process is provided, including: surveying the existing literature, developing research hypotheses, collecting and analyzing data, and reporting the results in manuscript form.Fulfills upper level writing requirement.",CSP
22030,CSP 263,RELATIONSHIP PROCESS & EMOTIONS,Fall 2018,4.0,Open,MW,1400,1515,MEL,221,75,REIS H,"PSY 161, PSY 171, OR PSY 181","Relationships are among the most important endeavors of human activity. In the past three decades, extensive theory and research has been devoted to understanding the processes that regulate thoughts, feelings, and behavior in meaningful relationships with friends, family, and romantic partners. We will review scientific research on important topics such as attraction, attachment, emotion, intimacy, conflict resolution, relationship development and deterioration, and the impact of relationships on physical health and emotional well-being.",CSP
22048,CSP 263W,RELATIONSHIP PROCESS AND EMOTIONS,Fall 2018,0.5,Open,TBA,NULL,NULL,NULL,NULL,0,REIS H,NULL,Fulfills Upper-Level Requirement,CSP
22056,CSP 267,PSYCHOLOGY OF GENDER,Fall 2018,4.0,Open,TR,1400,1515,MEL,203,120,ESTRADA M,NULL,"Exploration of the ways males and females differ in interaction, theories of development of sex differences, consequences for social change.",CSP
22067,CSP 267W,PSYCHOLOGY OF GENDER,Fall 2018,0.5,Open,TBA,NULL,NULL,NULL,NULL,0,ESTRADA M,NULL,Fulfills Upper-Level Writing Requirement,CSP
22075,CSP 274W,PSYCHOLOGY: COMMUNICATING YOUR PROFESSIONAL IDENTITY,Fall 2018,2.0,Open,W,1400,1515,LCHAS,122,15,PHILLIPS K,Completion of the Primary Writing Requirement.,"This interactive course teaches “real life” communication skills and strategies that help students present their best professional selves and develop a fulfilling career. Students will explore and articulate their internship, career and graduate school goals for distinct audiences and purposes as they develop a professional communication portfolio of materials such as resumes, cover letters, statements of purpose, electronic communications, elevator pitches, project descriptions and abstracts, and online profiles (i.e., LinkedIn). Students will revise and refine their written and spoken work across the semester based on feedback from peers, instructors, and alumni. By the semester’s end, students will have gained extensive experience with the communication skills expected in today’s competitive environment. The class can be used to fulfill 1 of the 2 required Upper-Level Writing experiences for psychology majors; all others require permission of the instructor.",CSP
22081,CSP 280,CLINICAL PSYCHOLOGY,Fall 2018,4.0,Open,TR,940,1055,MEL,221,55,ESTRADA M,"PSY 101, PSY 282, or PSY 289","An introduction to the field of clinical psychology. Students are exposed to prevalent theoretical and research models, as well as approaches and research findings to assessment and diagnosis, and treatment modalities.",CSP
22094,CSP 280W,CLINICAL PSYCHOLOGY,Fall 2018,0.5,Open,TBA,NULL,NULL,NULL,NULL,0,ESTRADA M,NULL,Fulfills upper-level writing requirement.,CSP
22108,CSP 289,DEVELOPMENTAL CHILD PSYCHOPATHOLOGY,Fall 2018,4.0,Open,TR,1230,1345,MOREY,321,125,AUBE J,PSY 101,"Presents theory, research, assessment, and intervention in child and adolescent psychological disorder. Contributions of the normal developmental perspective to understanding psychopathology and risk, and vice versa, are emphasized.",CSP
22113,CSP 289W,DEVELOPMENTAL CHILD PSYCHOPATHOLOGY,Fall 2018,0.5,Open,TBA,NULL,NULL,NULL,NULL,0,AUBE J,NULL,Fulfills Upper-Level Writing Requirement.,CSP
22124,CSP 301W,TEACHING PSYCHOLOGY,Fall 2018,6.0,Open,M,1650,1930,MEL,352,15,NIEMIEC C,NULL,In-depth consideration of topics in psychology and their communication. PSY 101 is a lab for this course.,CSP
22131,CSP 302,TEACHING PSY OF PERSONALITY,Fall 2018,6.0,Open,TBA,NULL,NULL,NULL,NULL,6,NIEMIEC C,NULL,NULL,CSP
22145,CSP 310W,HONORS RESEARCH,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,15,GLENN C,NULL,Development and conduct of research leading to the Honors Thesis.,CSP
22159,CSP 325W,SUICIDE AND SELF-INJURY,Fall 2018,4.0,Open,W,900,1140,MEL,366,12,GLENN C,NULL,"Why do people engage in behaviors that are intentionally harmful to themselves? And why, at the extreme, would someone make the decision to end their life? These are questions that have puzzled scholars and scientists for thousands of years. This seminar course will explore our understanding of suicide and self-injury. Topics will include epidemiology, theories and models, assessment and identification, prediction, treatment, and prevention of these behaviors. Email instructor for application.",CSP
22162,CSP 330,RES:SOCIAL COG DEVELOPMENT,Fall 2018,2.0,Open,TBA,NULL,NULL,NULL,NULL,0,ELENBAAS L,NULL,NULL,CSP
22177,CSP 350,RESEARCH: MARITAL SEMINAR,Fall 2018,2.0,Open,TBA,NULL,NULL,NULL,NULL,10,ROGGE R,NULL,NULL,CSP
22186,CSP 351,RESEARCH IN DEVELOPMENT NEUROPSYCHOLOGY,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,15,BENNETTO L,NULL,"This course provides guided, direct research experiences in developmental neuropsychology, with a particular focus on autism and other developmental disabilities.",CSP
91173,CSP 351W,RES IN DEV NEUROPSYCHOLOGY,Fall 2018,0.5,Open,TBA,NULL,NULL,NULL,NULL,5,BENNETTO L,NULL,NULL,CSP
85037,CSP 353,RES:SOC COG&PSYCHOPATHOLOGY,Fall 2018,2.0,Open,TBA,NULL,NULL,NULL,NULL,8,DODELL-FEDER,NULL,NULL,CSP
88462,CSP 356,RESEARCH IN ADOLESCENT DEVELOPMENT,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,10,SMETANA J,NULL,"This course provides guided, direct experiences with research on adolescent development, with a particular focus on adolescence in the contest of family relationships.",CSP
22190,CSP 369,RESEARCH IN HUMAN MOTIVATION,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,15,NIEMIEC C,NULL,NULL,CSP
22204,CSP 370,YOUTH RISK & RESILIENCE RES,Fall 2018,2.0,Open,TBA,NULL,NULL,NULL,NULL,10,GLENN C,NULL,NULL,CSP
96541,CSP 370,DEPRESSION & ANXIETY RES,Fall 2018,2.0,Open,TBA,NULL,NULL,NULL,NULL,0,STARR L,NULL,NULL,CSP
22210,CSP 372,SOCIAL STRESS RESEARCH,Fall 2018,2.0,Open,TBA,NULL,NULL,NULL,NULL,20,JAMIESON J,NULL,NULL,CSP
22228,CSP 373,EXPLORING RESEARCH IN SOCIAL PSYCHOLOGY I,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,35,ELLIOT A,NULL,First-hand team experience with ongoing research in social psychology areas.,CSP
22232,CSP 373W,EXPLORING RESEARCH IN SOCIAL PSYCHOLOGY I,Fall 2018,0.5,Open,TBA,NULL,NULL,NULL,NULL,35,ELLIOT A,NULL,First-hand team experience with ongoing research in social psychology areas.,CSP
22249,CSP 377,EXPLORING RESEARCH IN FAMILY PSYCHOLOGY,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,DAVIES P,NULL,"Provides guided, direct, research experiences in investigating the interplay between family relationships and children’s social and emotional development. Emphasis is placed on gaining knowledge in translating theories (e.g., family systems theory) into empirically testable hypotheses and designing research methods and techniques to test predictions.",CSP
22255,CSP 383,MORAL DEVELOPMENT,Fall 2018,4.0,Open,T,1400,1640,MEL,366,15,SMETANA J,NULL,"This seminar focuses on the psychological study of moral development. Different theoretical approaches to morality and related empirical research are discussed. The primary focus is from a developmental psychology perspective, but philosophicaland educational issues also are considered.",CSP
90933,CSP 386V,FULL TIME VISITING STUDENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22261,CSP 391,INDEPENDENT STUDY,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22321,CSP 394,INTERNSHIP,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22339,CSP 395,HONORS SEMINAR,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22342,CSP 396,RES:SOC COG&PSYCHOPATHOLOGY,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,8,DODELL-FEDER,NULL,NULL,CSP
22350,CSP 396,RESEARCH:CHILD&ADOLESCNT DEV,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,SMETANA J,NULL,Consideration of recent experimental and theoretical contributions in several selected areas of psychology.,CSP
22368,CSP 396,RELATIONSHIPS RESEARCH,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,REIS H,NULL,Consideration of recent experimental and theoretical contributions in several selected areas of psychology.,CSP
22373,CSP 396,RESEARCH: SOCIAL STRESS LAB,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,JAMIESON J,NULL,Consideration of recent experimental and theoretical contributions in several selected areas of psychology.,CSP
22384,CSP 396,RESEARCH:DEPRESSION&ANXIETY,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,STARR L,NULL,Consideration of recent experimental and theoretical contributions in several selected areas of psychology.,CSP
22396,CSP 396,RES: YOUTH RISK & RESILIENCE,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,GLENN C,NULL,Consideration of recent experimental and theoretical contributions in several selected areas of psychology.,CSP
22402,CSP 396,RESEARCH: FAMILY PSYCHOLOGY,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,STURGE-APPLE,NULL,Consideration of recent experimental and theoretical contributions in several selected areas of psychology.,CSP
22417,CSP 396,RESEARCH: MARITAL SEMINAR,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,ROGGE R,NULL,Consideration of recent experimental and theoretical contributions in several selected areas of psychology.,CSP
22426,CSP 396,RES:CHILD&ADOLESCNT DEV,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,ELENBAAS L,NULL,Consideration of recent experimental and theoretical contributions in several selected areas of psychology.,CSP
22434,CSP 398,RESEARCH IN SOCIAL PSYCH,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,15,ZUCKERMAN M,NULL,NULL,CSP
22443,CSP 495,MASTER'S RESEARCH,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22451,CSP 504,DATA ANALYSIS I,Fall 2018,3.0,Open,TR,900,1055,MEL,474,15,ZUCKERMAN M,NULL,"Issues of data analysis in experimental research. The course focuses on parametric techniques, specifically analysis of variance. Topics covered include simple and complex designs for between and within subjects factors, including mixed designs; analysis of covariance and trend and contrasts. The course includes a lab in which students are taught to use a popular statistical package for data analysis",CSP
22465,CSP 504,DATA ANALYSIS-I REC,Fall 2018,REC,Open,M,1230,1330,MEL,474,15,ZUCKERMAN M,NULL,NULL,CSP
22480,CSP 516,STRUCTURAL EQUATN MODELING I,Fall 2018,3.0,Open,M,1200,1430,MEL,352,15,HANDLEY E,NULL,NULL,CSP
22499,CSP 553,SEMINAR IN SOCIAL PSYCHOLOGY,Fall 2018,3.0,Open,M,930,1200,MEL,474,15,ZUCKERMAN M,NULL,"An advanced overview of the field. Attitudes, interpersonal influence, attraction, aggression, social comparison, leadership, prejudice, and methodology",CSP
86242,CSP 569,DEVELOPMENTAL THEORY & RESEARCH,Fall 2018,3.0,Open,W,1300,1530,MEL,474,15,SMETANA J,NULL,NULL,CSP
22516,CSP 570,CLINICAL ASSESSMENT I,Fall 2018,3.0,Open,MW,1030,1200,MEL,352,15,BENNETTO L,NULL,NULL,CSP
22478,CSP 572,INTRODUCTION TO CLINICAL RESEARCH METHODS,Fall 2018,3.0,Open,T,1100,1400,MEL,474,18,ROGGE R,NULL,NULL,CSP
22538,CSP 583,MORAL DEVELOPMENT,Fall 2018,3.0,Open,T,1400,1640,MEL,366,15,SMETANA J,NULL,"This seminar focuses on the psychological study of moral development. Different theoretical approaches to morality and related empirical research are discussed. The primary focus is from a developmental psychology perspective, but philosophicaland educational issues also are considered.",CSP
22540,CSP 584,PSYCHOTHERAPY PRACTICUM I,Fall 2018,3.0,Open,F,900,1200,UCC,309,15,KAUFMANN D,NULL,NULL,CSP
22552,CSP 588,CLINICAL PRECEPTORIAL,Fall 2018,3.0,Open,TBA,NULL,NULL,NULL,NULL,0,BENNETTO L,NULL,NULL,CSP
22574,CSP 593,SPECIAL PROBLEMS,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22583,CSP 594,INTERNSHIP RESEARCH,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22595,CSP 595,PHD RESEARCH,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22737,CSP 595A,PHD RESEARCH IN ABSENTIA,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22758,CSP 598,SEMINAR IN TEACHING,Fall 2018,3.0,Open,TBA,NULL,NULL,NULL,NULL,0,ESTRADA M,NULL,NULL,CSP
22760,CSP 895,CONT OF MASTER'S ENROLLMENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22771,CSP 899,MASTER'S DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22785,CSP 985,LEAVE OF ABSENCE,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22792,CSP 986V,FULL TIME VISITING STUDENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22805,CSP 987V,PART-TIME VISITING STUDENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22818,CSP 995,CONT OF DOCTORAL ENROLLMENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22820,CSP 997,DOCTORAL DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22854,CSP 997A,DOCT DISSERTATN IN ABSENTIA,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22889,CSP 999,DOCTORAL DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22941,CSP 999A,DOCTORAL DISSERTATION IN ABSENTIA,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CSP
22970,CVS 110,NEURAL FOUNDATNS OF BEHAV,Fall 2018,4.0,Open,TR,940,1055,HUTCH,141,0,DAVIS K,None,"Introduces the structure and organization of the brain, and its role in perception, movement, thinking, and other behavior. Topics include the brain as a special kind of computer, localization of function, effects of brain damage and disorders, differences between human and animal brains, sex differences, perception and control of movement, sleep, regulation of body states and emotions, and development and aging.",CVS
22988,CVS 110,NEURAL FOUNDATIONS OF BEHAVIOR - RECITATION,Fall 2018,REC,Open,M,1650,1805,GAVET,301,48,DAVIS K,NULL,NULL,CVS
22997,CVS 110,NEURAL FOUNDATIONS OF BEHAVIOR - RECITATION,Fall 2018,REC,Open,M,1525,1640,GAVET,301,48,DAVIS K,NULL,NULL,CVS
23005,CVS 110,NEURAL FOUNDATIONS OF BEHAVIOR - RECITATION,Fall 2018,REC,Open,R,1650,1805,CSB,209,75,DAVIS K,NULL,NULL,CVS
23018,CVS 110,NEURAL FOUNDATIONS OF BEHAVIOR - RECITATION,Fall 2018,REC,Open,F,1400,1515,MEL,221,75,DAVIS K,NULL,NULL,CVS
23020,CVS 151,PERCEPTION & ACTION,Fall 2018,4.0,Open,TR,1105,1220,DEWEY,1101,0,TADIN D,BCS 110 or BCS 111,"Explores how the biology of our senses shapes perceptual experiences of reality. Emphasizes sense of sight primarily and hearing secondarily. An important theme is that our sensory systems play a crucial role in the execution of coordinated movements of our bodies, as we navigate in, and interact with, the environment.",CVS
84835,CVS 241,"NEURONS, CIRCUITS, & SYSTEMS",Fall 2018,4.0,Open,TR,940,1055,HARK,210,0,BRIGGS F,NSC 201/BCS 240,"This course takes a bottom-up approach to understanding the neurons and circuits of the sensory systems in the mammalian brain. Thematic topics will include: structural and functional diversity among sensory neuronal populations, common themes across sensory systems such as parallel information processing, coordination among feedforward/feedback circuits, and neuronal plasticity during development of functional domains. The final course module will focus on exploring the neuronal mechanisms of attention, again from a neuron- and circuit-centric perspective. Visual, auditory, and somatosensory systems will be discussed with most emphasis on the visual system as a model for understanding structure/function relationships. The course will also introduce students to modern methodological approaches in systems neuroscience aimed at measuring and manipulating the activity of large populations of neurons while also incorporating information about individual neuronal identity, structure, and circuit connectivity.",CVS
23036,CVS 391,INDEPENDENT STUDY,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CVS
23047,CVS 395,RESEARCH IN VISUAL SCIENCE,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CVS
23054,CVS 491,MASTER'S READINGS,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CVS
23063,CVS 493,MASTER'S SPECIAL TOPICS,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CVS
23072,CVS 495,MASTER'S RESEARCH,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CVS
23091,CVS 528,SPECIAL TOPICS IN VISION,Fall 2018,3.0,Open,TBA,NULL,NULL,NULL,NULL,0,TADIN D,NULL,"Advanced graduate seminar on a chose problem in vision sciences.  In previous years, topics have included motion perception, stereopsis, color vision and visuo-motor control.  Readings for the course are drawn from the scientific literature in the topic being covered.  Students are typically required to lead discussions on papers.",CVS
23107,CVS 591,PHD READINGS,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,CVS
23121,DAN 104,CONTACT IMPROVISATION I,Fall 2018,2.0,Open,TR,1400,1515,OBRN,DANCE,20,WOOD R,NULL,"Rooted in dance, martial arts and studies of body development and awareness. A duet form where partners use weight, momentum, and inertia to move each other freely through space.  Solo and duet skills, rolling, falling, balance, counter-balance, jumping, weight sharing, spirals explored. Skill work combined with more open dancing in a supportive and focused environment. No previous dance training required.",DAN
23139,DAN 114,INTRODUCTION TO YOGA,Fall 2018,2.0,Open,TR,940,1055,SPURR,GYM,30,GIPNER M,NULL,"Yoga is defined as “union”, the uniting together of ourselves in all aspects- body, mind, heart, spirit. This class introduces the student to a hatha yoga method which integrates a dynamic and engaging approach to living through practicing “on and off the mat.” The goal of this class is to learn how to create a deeper, more enlivened relationship to one’s self through honoring one’s abilities and limitations, while growing one’s skills and sensitivity in the supportive environment of the class community. Students will engage with principles of attitude, alignment and action in a full range of hatha yoga poses, breathing techniques, readings on yoga philosophy, reflection, journaling and discussion. Through this ongoing process, students of yoga are encouraged to cultivate a more expansive and clear perception of self and others. Attendance in selected workshops and performances are required.",DAN
